Name,Description,Unit,DataType,Attributes
neo4j_database_system_pool_transaction_system_used_heap,"Generated from Dropwizard metric import (metric=neo4j.database.system.pool.transaction.system.used_heap, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_database_system_check_point_pages_flushed,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.pages_flushed, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",
neo4j_database_system_db_query_execution_latency_millis,,summary,
neo4j_dbms_vm_memory_buffer_direct_used,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.memory.buffer.direct.used, type=com.neo4j.metrics.source.jvm.JVMMemoryBuffersMetrics)",
neo4j_dbms_vm_file_descriptors_count,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.file.descriptors.count, type=com.neo4j.metrics.source.jvm.FileDescriptorMetrics)",
neo4j_database_system_transaction_rollbacks_write_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.rollbacks_write, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_transaction_peak_concurrent_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.peak_concurrent, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_check_point_io_limit,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.io_limit, type=com.neo4j.metrics.source.db.CheckPointingMetrics)",
neo4j_dbms_bolt_messages_started_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.bolt.messages_started, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_dbms_bolt_connections_closed_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.bolt.connections_closed, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_dbms_bolt_connections_idle,"Generated from Dropwizard metric import (metric=neo4j.dbms.bolt.connections_idle, type=com.neo4j.metrics.source.db.BoltMetrics)",
neo4j_database_system_pool_transaction_system_total_used,"Generated from Dropwizard metric import (metric=neo4j.database.system.pool.transaction.system.total_used, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_database_system_check_point_total_time_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.check_point.total_time, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_dbms_vm_gc_time_g1_young_generation_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.gc.time.g1_young_generation, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_store_size_database,"Generated from Dropwizard metric import (metric=neo4j.database.system.store.size.database, type=com.neo4j.metrics.source.db.StoreSizeMetrics)",
neo4j_dbms_vm_pause_time_total,"Generated from Dropwizard metric import (metric=neo4j.dbms.vm.pause_time, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_dbms_pool_bolt_total_size,"Generated from Dropwizard metric import (metric=neo4j.dbms.pool.bolt.total_size, type=com.neo4j.metrics.source.db.AbstractMemoryPoolMetrics)",
neo4j_database_system_ids_in_use_relationship_type,"Generated from Dropwizard metric import (metric=neo4j.database.system.ids_in_use.relationship_type, type=com.neo4j.metrics.source.db.EntityCountMetrics)",
neo4j_database_system_transaction_last_committed_tx_id_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.transaction.last_committed_tx_id, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_ids_in_use_relationship,"Generated from Dropwizard metric import (metric=neo4j.database.system.ids_in_use.relationship, type=com.neo4j.metrics.source.db.EntityCountMetrics)",
neo4j_database_system_cypher_replan_events_total,"Generated from Dropwizard metric import (metric=neo4j.database.system.cypher.replan_events, type=com.neo4j.metrics.metric.MetricsCounter)",counter,
neo4j_database_system_ids_in_use_property,"Generated from Dropwizard metric import (metric=neo4j.database.system.ids_in_use.property, type=com.neo4j.metrics.source.db.EntityCountMetrics)",
